,Unnamed: 0,url,lat,lng,name,formatted_address,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
95,ChIJoYi2Q8TTl0YRaY7WUS5djkM,https://maps.google.com/?cid=4867930700756979305,60.054828500000006,30.7445667,Корнево,"Корнево, Ленинградская обл., Россия, 188670",0,0,0,0,5,23,33,32,20,0,0,0,0,0,0,0,2,25,39,42,35,17,0,0
96,ChIJqXnJOQnRl0YRDm9nLiVn7Cg,https://maps.google.com/?cid=2948845265410813710,60.095677499999994,30.77972590000001,Проба,"Ленинградская обл., Россия, 188671",0,0,0,0,0,0,0,0,2,6,8,10,13,13,10,8,6,2,0,0,0,0,0,0
97,ChIJW38MeC_Rl0YRVkOa0CY23I0,https://maps.google.com/?cid=10222104794560611158,60.0912919,30.827684499999997,Рахья,"Рахья, Ленинградская обл., Россия, 188671",0,0,0,0,0,2,8,7,0,0,0,0,0,0,5,0,0,0,9,36,49,45,27,2
98,ChIJfeFSPnTXl0YRKd0n8eVqzS4,https://maps.google.com/?cid=3372469231796346153,60.09681080000001,30.9647201,Борисова Грива,"Борисова Грива, Ленинградская обл., Россия, 188672",0,0,0,0,0,4,10,11,8,1,0,0,0,10,31,39,29,14,5,2,2,0,0,0
99,ChIJHyFJHJLXl0YRG3ly48X6ps0,https://maps.google.com/?cid=14818807351740627227,60.09253199999999,31.0081825,Ваганово,"Ленинградская обл., Россия, 188674",0,0,0,0,9,21,24,24,18,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0
100,ChIJi0HlZULYl0YRmV6yra5M7LY,https://maps.google.com/?cid=13180994522528767641,60.12614129999999,31.0661962,ст. Ладожское Озеро,"Ладожское Озеро, Ленинградская обл., Россия, 188675",0,0,0,0,0,0,0,0,1,2,4,7,12,17,23,28,30,29,25,19,12,7,2,0
102,ChIJj-IDNX_Tl0YR3nKN3DAJg4s,https://maps.google.com/?cid=10052888898684416734,60.01757169999999,30.74803699999999,Щеглово,"Плинтовка, Ленинградская обл., Россия, 188676",0,0,0,0,0,0,10,35,55,60,49,32,20,15,18,23,24,26,23,16,9,1,0,0
103,ChIJr1ytGWDUl0YRuz_oUxAHXwY,https://maps.google.com/?cid=459093453723680699,60.007667299999994,30.796923,Кирпичный Завод,"Кирпичный Завод, Ленинградская обл., Россия, 188676",0,0,0,0,0,0,6,28,52,70,77,78,80,85,89,87,77,60,41,23,9,0,0,0
104,ChIJf-njlC1-vUYR1kKPgx3XTmk,https://maps.google.com/?cid=7588238943927091926,59.976055599999995,30.933007300000003,Дунай,"Ленинградская обл., Россия, 188827",0,0,0,0,0,0,0,3,8,15,20,25,27,28,30,33,35,35,32,26,17,9,3,0
105,ChIJa5ODX0V-vUYRvicgDX4DhGI,https://maps.google.com/?cid=7098802752563718078,59.97218519999999,30.981546100000003,Пл. 19 км,"Ленинградская обл., Россия, 188679",0,0,0,0,0,0,0,0,0,0,1,3,7,11,16,21,26,27,26,21,13,6,0,0
106,ChIJ_cCga-9-vUYR3wY9jF5JKDU,https://maps.google.com/?cid=3830392153507170015,59.96068149999999,31.02831560000001,Петрокрепость,"пос. имени Морозова, Ленинградская обл., Россия, 188679",0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,15,17,19,18,16,13,9,5,1
107,ChIJtxLS_HB_vUYRiXRQxt83uZw,https://maps.google.com/?cid=11293118974852625545,59.9271159,30.964721,Чёрная Речка,"Ленинградская обл., Россия, 187320",0,0,0,0,0,0,0,5,12,20,28,33,35,35,35,33,28,20,12,5,0,0,0,0
108,ChIJqSttzl-BvUYRBsI59GhQVYE,https://maps.google.com/?cid=9319443415617356294,59.843907900000005,30.9286946,Невская Дубровка,"Дубровка, Ленинградская обл., Россия, 188684",0,0,0,0,0,0,7,15,23,30,38,45,52,59,64,69,71,71,66,58,47,35,21,9
